id,region_cd,name,lat,lng,seq,police,office,group_id,arrow_configs,controller,diagram_order,weekly_plan,created_at,updated_at,api_int_no
"L02-1073","L02","연안여객터미널","37.453266","126.598396","1073","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1074","L02","종합어시장4","37.453993","126.605349","1074","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1075","L02","연안초교3거리","37.452752","126.608484","1075","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1076","L02","연안풍물거리4거리","37.451034","126.603543","1076","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1077","L02","저유소4거리","37.448067","126.60171","1077","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1078","L02","컨부두입구3거리","37.444323","126.603175","1078","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1079","L02","항동롯데마트","37.447482","126.621132","1079","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1080","L02","동양물류4거리","37.439858","126.622201","1080","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1081","L02","CJ창고","37.438781","126.62495","1081","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1082","L02","대우물류3거리","37.434822","126.619147","1082","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1083","L02","아암3교3거리","37.432354","126.614377","1083","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1084","L02","선광물류3거리","37.432368","126.618491","1084","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
