ID,Name,Lat,Lng,Seq,Police,Office,GroupID,FlashCfg,OpIntervention,ArrowConfigs,Controller,DiagramOrder,Weekly_plan
"krd-36020","월드컵파크4단지","37.575981140","126.888360500","3602","마포","마포","37","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36030","월드컵경기장사거리","37.567698260","126.893625700","3603","마포","마포","1779","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36040","상계주공6단지정문","37.655168980","127.064455300","3604","노원","노원","1667","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36050","월드컵남문","37.566847210","126.895209200","3605","마포","마포","1779","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36070","월드컵파크3단지","37.573054710","126.888149300","3607","마포","마포","570","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36080","월드컵파크2단지","37.574897550","126.890069500","3608","마포","마포","37","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36090","가재울동부센트레빌","37.575175300","126.916526900","3609","서대문","서대문","669","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36100","상암초교","37.577131140","126.892390100","3610","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36101","상암초교(연등)","37.578047190","126.893210800","3610","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36110","월드컵파크1단지","37.575762510","126.894741900","3611","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36111","월드컵파크1단지(연등)","37.576296320","126.893907900","3611","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36120","상암휴먼시아아파트","37.575197180","126.895766400","3612","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36130","수색역서측","37.576238340","126.899502700","3613","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36140","중동교","37.575374750","126.900827400","3614","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36150","중동청구아파트삼거리","37.574074880","126.903003700","3615","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36151","중동청구아파트삼거리(연등)","37.574395580","126.902458300","3615","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36160","중암교","37.572304480","126.900445200","3616","마포","마포","592","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36161","중암교(연등)1","37.571686040","126.901265700","3616","마포","마포","592","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36162","중암교(연등)2","37.571365350","126.901702100","3616","마포","마포","592","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36170","상암사거리","37.573416830","126.898879400","3617","마포","마포","75","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36180","월드컵동문","37.569457380","126.900249300","3618","마포","마포","1913","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36190","월드컵경기장","37.566223830","126.899175700","3619","마포","마포","1270","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36200","마포구청","37.565409170","126.901487200","3620","마포","마포","1270","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36210","월드컵공원관리사무소","37.564023510","126.899155100","3621","마포","마포","1270","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36220","성산119안전센터","37.570276620","126.903135100","3622","마포","마포","592","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36230","신북초교","37.571347410","126.904291700","3623","마포","마포","257","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36240","구파발역","37.636175400","126.918872800","3624","은평","은평","1842","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36241","구파발역(연등)","37.637118520","126.918805100","3624","은평","은평","1842","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36250","성산현대아파트","37.571210310","126.907944800","3625","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36251","성산현대아파트(연등)","37.571737600","126.907015600","3625","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36260","서울가좌행복주택","37.569609340","126.911519100","3626","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36261","서울가좌행복주택(연등)1","37.570067690","126.910418100","3626","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36262","서울가좌행복주택(연등)2","37.568957350","126.913113900","3626","마포","마포","608","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36270","모래내지하차도","37.567837110","126.915930600","3627","마포","마포","65","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36271","모래내지하차도(연등)","37.568233570","126.915122300","3627","마포","마포","65","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36280","성사중입구","37.566688680","126.913829100","3628","마포","마포","63","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36300","성산2-1공영주차장","37.564795950","126.907371400","3630","마포","마포","31","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36310","성산2교","37.565288090","126.911758400","3631","마포","마포","63","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36311","성산2교(연등)","37.564084480","126.912879300","3631","마포","마포","63","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36320","강북청년창업센터","37.564156210","126.907611400","3632","마포","마포","63","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36330","홍대입구역","37.555196200","126.921513500","3633","마포","마포","540","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36331","홍대입구역(연등)","37.554732860","126.922079800","3633","마포","마포","540","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36340","홍대클럽거리","37.550722390","126.923034500","3634","마포","마포","86","0|||","0|","","","-1","1;1;1;1;1;2;3"
